velocity3, 0022568, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 1.593695e+01, 8.639844e-01, 5.055001e+01, 6.097092e+26, 2.384110e+01, 6.720685e+26, 5.182072e+00, 1.216708e-01, 1.146352e+09, 4.226653e+28, 6.698132e+00, 4.034496e+00, 4.293859e+28, 4.293859e+28, 1.957702e+09, 0.000000e+00, 6.531721e+42, 1.032342e-02, 1.257322e-02, 4.985259e+00, 1.126022e-01, 1.920050e-02
velocity4, 0024127, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 1.758279e+01, 9.532098e-01, 5.055001e+01, 6.097092e+26, 2.207274e+01, 4.274022e+26, 3.215897e+00, 7.686695e-02, 1.142911e+09, 4.214702e+28, 6.739709e+00, 4.529931e+00, 4.257510e+28, 4.267186e+28, 1.881782e+09, 9.743733e+25, 6.600056e+42, 1.032342e-02, 1.252989e-01, 4.878974e+00, 1.193559e-01, 1.202736e-02
velocity5, 0025816, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 1.921253e+01, 1.041562e+00, 5.055001e+01, 6.097092e+26, 1.659212e+01, 1.858781e+27, 6.997059e+00, 2.430145e-03, 1.128308e+09, 4.067457e+28, 6.760075e+00, 4.369781e+00, 4.255121e+28, 4.279582e+28, 1.882053e+09, 2.624681e+26, 3.359995e+42, 1.032342e-02, 2.750364e-01, 8.980543e+00, 1.329062e-01, 2.605520e-02
velocity6, 0026041, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 2.243755e+01, 1.216399e+00, 5.055001e+01, 6.097092e+26, 7.457938e+00, 1.785557e+25, 1.071489e-01, 2.388000e-03, 1.113788e+09, 3.929211e+28, 6.789061e+00, 5.896796e+00, 3.930999e+28, 3.939627e+28, 1.683607e+09, 8.630953e+25, 2.573084e+42, 1.032342e-02, 4.866479e-01, 1.108113e+01, 5.847481e-02, 4.517371e-04
velocity7, 0023313, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 2.563109e+01, 1.389529e+00, 5.055001e+01, 6.097092e+26, 5.919259e+00, 2.811389e+25, 1.920194e-01, 4.809380e-03, 1.110520e+09, 3.880576e+28, 6.764386e+00, 5.025761e+00, 3.883394e+28, 3.888013e+28, 1.768380e+09, 4.625651e+25, 2.004620e+42, 1.032342e-02, 4.359458e-01, 1.397921e+01, 4.393161e-02, 8.257228e-04
velocity8, 0021536, 7.207593e+00, 6.381183e+00, 8.264096e-01, 1.146582e-01, 3.284473e-01, 3.375043e-01, 1.076450e+09, 6.134020e+08, 3.038414e+01, 1.647205e+00, 5.055001e+01, 6.097092e+26, 4.206453e+00, 1.321611e+25, 8.897662e-02, 2.129894e-03, 1.109162e+09, 3.849811e+28, 6.735445e+00, 4.478385e+00, 3.851133e+28, 3.851133e+28, 1.832808e+09, 0.000000e+00, 1.441195e+42, 1.032342e-02, 6.475891e-02, 1.926589e+01, 3.073851e-02, 3.881271e-04
angle1, 0023754, 7.207619e+00, 6.381249e+00, 8.263702e-01, 1.146523e-01, 3.284502e-01, 3.374904e-01, 1.076450e+09, 6.134020e+08, 1.426948e+01, 7.735850e-01, 2.069535e+01, 4.093301e+27, 9.115137e+00, 4.566512e+24, 3.033779e-02, 5.942314e-04, 1.166467e+09, 4.289086e+28, 6.451473e+00, 4.245676e+00, 4.289542e+28, 4.289542e+28, 1.934120e+09, 0.000000e+00, 3.179699e+42, 7.795946e-02, 2.004876e-06, 1.075986e+01, 4.650614e-02, 1.125766e-04
angle2, 0024683, 7.207628e+00, 6.381275e+00, 8.263527e-01, 1.146498e-01, 3.284529e-01, 3.375370e-01, 1.076450e+09, 6.134020e+08, 1.426948e+01, 7.735846e-01, 2.811213e+01, 3.414481e+27, 1.229447e+01, 1.987682e+24, 1.228904e-02, 2.137663e-04, 1.158837e+09, 4.291452e+28, 6.583383e+00, 4.186385e+00, 4.291651e+28, 4.291651e+28, 1.943566e+09, 0.000000e+00, 4.298801e+42, 6.729662e-02, 1.452856e-06, 7.859307e+00, 6.121487e-02, 4.556821e-05
angle3, 0023996, 7.207720e+00, 6.381381e+00, 8.263391e-01, 1.146464e-01, 3.284517e-01, 3.375282e-01, 1.076450e+09, 6.134020e+08, 1.426948e+01, 7.735796e-01, 3.608600e+01, 2.272441e+27, 1.623654e+01, 7.136068e+24, 4.300474e-02, 7.578937e-04, 1.164368e+09, 4.291623e+28, 6.490270e+00, 4.748840e+00, 4.292337e+28, 4.292337e+28, 1.863612e+09, 0.000000e+00, 5.667741e+42, 4.693435e-02, 6.077975e-03, 6.018311e+00, 7.661147e-02, 1.594250e-04
angle4, 0020178, 7.207648e+00, 6.381272e+00, 8.263760e-01, 1.146527e-01, 3.284466e-01, 3.375249e-01, 1.076450e+09, 6.134020e+08, 1.426948e+01, 7.735835e-01, 6.206740e+01, 1.754300e+26, 2.381503e+01, 5.408979e+26, 4.478354e+00, 1.132159e-01, 1.162468e+09, 4.247106e+28, 6.454490e+00, 4.198584e+00, 4.301196e+28, 4.301196e+28, 1.934970e+09, 0.000000e+00, 6.768251e+42, 4.862620e-03, 1.219498e-02, 4.971199e+00, 1.166881e-01, 1.655066e-02
angle5, 0022960, 7.207671e+00, 6.381339e+00, 8.263322e-01, 1.146462e-01, 3.284461e-01, 3.375216e-01, 1.076450e+09, 6.134020e+08, 1.426948e+01, 7.735822e-01, 7.045803e+01, 4.771579e+25, 2.579781e+01, 9.048371e+26, 8.490646e+00, 2.384064e-01, 1.144180e+09, 4.215771e+28, 6.719015e+00, 4.171603e+00, 4.306255e+28, 4.306255e+28, 1.934352e+09, 0.000000e+00, 6.058098e+42, 1.787771e-02, 9.727860e-03, 5.340871e+00, 1.249106e-01, 3.132362e-02
gamma1, 0018451, 7.126357e+00, 5.732251e+00, 1.394105e+00, 1.956267e-01, 3.260122e-01, 3.429926e-01, 1.046760e+09, 7.081400e+08, 1.400249e+01, 7.779813e-01, 5.055007e+01, 7.724861e+26, 3.288129e+01, 6.675516e+26, 5.191748e+00, 1.275762e-01, 1.206011e+09, 4.192270e+28, 5.705665e+00, 4.366128e+00, 4.259025e+28, 4.259025e+28, 1.901641e+09, 0.000000e+00, 9.691633e+42, 4.924759e-03, 3.075588e-02, 3.688400e+00, 1.646200e-01, 1.910853e-02
gamma2, 0022328, 7.130683e+00, 4.838779e+00, 2.291904e+00, 3.214143e-01, 3.223623e-01, 3.497859e-01, 1.001190e+09, 8.106170e+08, 1.378080e+01, 7.777434e-01, 5.055000e+01, 9.683361e+26, 4.113567e+01, 7.203283e+26, 5.617502e+00, 1.435588e-01, 1.187176e+09, 4.157866e+28, 5.932488e+00, 4.730828e+00, 4.229899e+28, 4.230094e+28, 1.846384e+09, 1.952377e+24, 1.243174e+43, 1.739904e-03, 3.592809e-04, 2.763322e+00, 2.306803e-01, 2.055736e-02
gamma3, 0021372, 7.263647e+00, 3.987573e+00, 3.276073e+00, 4.510232e-01, 3.184439e-01, 3.558850e-01, 9.510450e+08, 8.922000e+08, 1.366278e+01, 7.705925e-01, 5.054996e+01, 1.074753e+27, 4.847827e+01, 1.782187e+27, 1.268252e+01, 2.967652e-01, 1.180423e+09, 4.160047e+28, 6.038061e+00, 4.802052e+00, 4.338265e+28, 4.338265e+28, 1.837531e+09, 0.000000e+00, 1.252918e+43, 7.037715e-04, 1.174651e-03, 2.712276e+00, 2.631151e-01, 4.430421e-02
gamma4, 0018060, 7.518131e+00, 3.179492e+00, 4.338639e+00, 5.770901e-01, 3.141980e-01, 3.613481e-01, 8.949680e+08, 9.610930e+08, 1.361552e+01, 7.574376e-01, 5.055001e+01, 1.180715e+27, 4.978833e+01, 8.103032e+26, 6.982468e+00, 1.822765e-01, 1.216357e+09, 4.406801e+28, 5.845904e+00, 4.838192e+00, 4.487831e+28, 4.487831e+28, 1.868490e+09, 0.000000e+00, 1.498255e+43, 2.965800e-04, 1.632747e-02, 2.551186e+00, 2.541823e-01, 2.310272e-02
gamma5, 0020617, 7.176209e+00, 6.193548e+00, 9.826606e-01, 1.369331e-01, 3.277588e-01, 3.391911e-01, 1.068130e+09, 6.433880e+08, 1.417882e+01, 7.752732e-01, 5.055006e+01, 6.875200e+26, 2.462557e+01, 3.773522e+26, 2.542520e+00, 5.100930e-02, 1.185079e+09, 4.250517e+28, 6.096924e+00, 4.140963e+00, 4.288252e+28, 4.288252e+28, 1.944424e+09, 0.000000e+00, 7.729226e+42, 1.005272e-02, 9.078436e-04, 4.527759e+00, 1.207780e-01, 9.379037e-03
gamma6, 0017595, 7.111602e+00, 5.280206e+00, 1.831395e+00, 2.575222e-01, 3.242275e-01, 3.465065e-01, 1.024480e+09, 7.628200e+08, 1.387494e+01, 7.787850e-01, 5.055015e+01, 9.086229e+26, 3.927135e+01, 8.050754e+26, 6.334165e+00, 1.614672e-01, 1.212159e+09, 4.167723e+28, 5.586390e+00, 4.619536e+00, 4.248230e+28, 4.248230e+28, 1.862563e+09, 0.000000e+00, 1.152817e+43, 3.445384e-03, 1.725630e-02, 3.114154e+00, 2.011919e-01, 2.318909e-02
gamma7, 0019533, 7.181901e+00, 4.408135e+00, 2.773766e+00, 3.862161e-01, 3.204346e-01, 3.529367e-01, 9.767620e+08, 8.533590e+08, 1.371169e+01, 7.749661e-01, 5.054991e+01, 1.090628e+27, 4.761236e+01, 8.825159e+26, 7.136507e+00, 1.870387e-01, 1.177251e+09, 4.199406e+28, 6.144583e+00, 4.811397e+00, 4.287657e+28, 4.287657e+28, 1.842114e+09, 0.000000e+00, 1.416669e+43, 1.254987e-03, 3.374860e-03, 2.408465e+00, 2.504058e-01, 2.546366e-02
